Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2022-2023,23,Lazio,it ITA,1. Serie A,2nd,2.0,1,0,0,1,0,1,4,25.0,3,3,0,3,7,8,4,0,Luca Pellegrini,DF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,8.7,18,13,7,10,1,9,17,52.9,8,7,3,4,9,27,20,0,Luca Pellegrini,DF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,4.2,6,3,2,4,0,3,7,42.9,4,6,1,5,6,12,10,0,Luca Pellegrini,DF
2017-2018,19,Perugia,it ITA,2. Serie B,8th,0.1,,,,,,,,,,,,,,,,,Nicolò Casale,DF
2019-2020,21,Venezia,it ITA,2. Serie B,11th,16.2,24,16,23,1,0,16,17,94.1,1,17,10,7,16,40,46,0,Nicolò Casale,DF
2020-2021,22,Empoli,it ITA,2. Serie B,1st,20.6,35,23,21,11,3,14,20,70.0,6,23,8,15,30,65,69,1,Nicolò Casale,DF
2021-2022,23,Hellas Verona,it ITA,1. Serie A,9th,28.7,46,30,25,19,2,21,37,56.8,16,31,12,19,49,95,95,0,Nicolò Casale,DF
2022-2023,24,Lazio,it ITA,1. Serie A,2nd,27.1,42,20,28,14,0,22,34,64.7,12,25,17,8,17,59,73,1,Nicolò Casale,DF
2023-2024,25,Lazio,it ITA,1. Serie A,7th,17.3,15,9,13,2,0,6,15,40.0,9,19,16,3,12,27,61,0,Nicolò Casale,DF
2024-2025,26,Lazio,it ITA,1. Serie A,4th,1.5,5,3,4,1,0,0,0,,0,4,3,1,1,6,2,0,Nicolò Casale,DF
2024-2025,26,Bologna,it ITA,1. Serie A,7th,2.9,3,1,1,2,0,1,2,50.0,1,8,6,2,2,5,8,2,Nicolò Casale,DF
2021-2022,17,Rennes,fr FRA,1. Ligue 1,4th,1.0,3,1,1,2,0,1,5,20.0,4,0,0,0,2,5,0,0,Loum Tchaouna,"FW,MF"
2022-2023,18,Dijon,fr FRA,2. Ligue 2,18th,18.0,15,11,7,6,2,9,18,50.0,9,17,0,17,7,22,10,0,Loum Tchaouna,"FW,MF"
2023-2024,19,Salernitana,it ITA,1. Serie A,20th,23.3,20,10,5,13,2,10,20,50.0,10,20,1,19,4,24,16,1,Loum Tchaouna,"FW,MF"
